      Iter       Train Loss      OOB Improve   Remaining Time 
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2337           0.1389            0.99s
         2           1.1222           0.1140            0.98s
         3           1.0267           0.0870            0.96s
         4           0.9496           0.0824            0.94s
         5           0.8834           0.0679            0.93s
         6           0.8289           0.0609            0.76s
         7           0.7772           0.0427            0.77s
         8           0.7439           0.0608            0.77s
         9           0.7046           0.0314            0.77s
        10           0.6723           0.0306            0.77s
        20           0.4832           0.0059            0.63s
        30           0.4049           0.0011            0.52s
        40           0.3537           0.0003            0.37s
        50           0.3262          -0.0037            0.21s
        60           0.3058          -0.0030            0.06s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2341           0.1371            1.00s
         2           1.1210           0.1122            1.21s
         3           1.0273           0.0924            1.13s
         4           0.9518           0.0871            1.04s
         5           0.8843           0.0625            1.13s
         6           0.8220           0.0436            1.08s
         7           0.7776           0.0624            1.04s
         8           0.7382           0.0497            1.01s
         9           0.6989           0.0288            0.98s
        10           0.6631           0.0237            0.95s
        20           0.4745           0.0051            0.70s
        30           0.3945           0.0241            0.57s
        40           0.3410          -0.0058            0.40s
        50           0.3220           0.0011            0.24s
        60           0.2928          -0.0084            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2349           0.1379            1.01s
         2           1.1210           0.1116            5.94s
         3           1.0264           0.0923            4.38s
         4           0.9493           0.0834            3.55s
         5           0.8808           0.0621            3.14s
         6           0.8243           0.0581            2.79s
         7           0.7713           0.0420            2.55s
         8           0.7317           0.0508            2.34s
         9           0.6908           0.0248            2.18s
        10           0.6677           0.0555            2.02s
        20           0.4802           0.0339            1.19s
        30           0.3929           0.0185            0.81s
        40           0.3390          -0.0023            0.53s
        50           0.3203           0.0063            0.30s
        60           0.2940           0.0082            0.08s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2330           0.1415            1.00s
         2           1.1209           0.1132            0.99s
         3           1.0264           0.0913            0.97s
         4           0.9493           0.0823            0.96s
         5           0.8841           0.0686            0.96s
         6           0.8193           0.0358            0.92s
         7           0.7790           0.0732            0.91s
         8           0.7344           0.0360            0.78s
         9           0.6975           0.0349            0.87s
        10           0.6673           0.0363            0.85s
        20           0.4840           0.0235            0.73s
        30           0.3976           0.0132            0.57s
        40           0.3623           0.0229            0.40s
        50           0.3207          -0.0325            0.23s
        60           0.3121           0.0188            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2335           0.1394            0.83s
         2           1.1213           0.1149            0.91s
         3           1.0282           0.0960            0.92s
         4           0.9493           0.0760            0.92s
         5           0.8830           0.0671            1.01s
         6           0.8283           0.0686            0.98s
         7           0.7761           0.0326            1.02s
         8           0.7329           0.0392            0.93s
         9           0.6974           0.0409            0.91s
        10           0.6661           0.0383            0.89s
        20           0.4788           0.0266            0.74s
        30           0.3893          -0.0143            0.60s
        40           0.3516           0.0664            0.45s
        50           0.3220          -0.0019            0.26s
        60           0.3068           0.0523            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2333           0.1404            1.02s
         2           1.1200           0.1156            1.00s
         3           1.0269           0.0978            0.98s
         4           0.9441           0.0601            0.96s
         5           0.8779           0.0711            0.94s
         6           0.8230           0.0698            1.02s
         7           0.7723           0.0405            1.02s
         8           0.7280           0.0307            1.00s
         9           0.6912           0.0437            0.97s
        10           0.6617           0.0462            0.94s
        20           0.4777           0.0091            0.86s
        30           0.3862           0.0112            0.63s
        40           0.3428           0.0311            0.44s
        50           0.3142           0.0210            0.26s
        60           0.2887          -0.0282            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2348           0.1339            1.11s
         2           1.1208           0.1023            0.72s
         3           1.0288           0.1001            0.80s
         4           0.9516           0.0845            0.83s
         5           0.8839           0.0578            1.02s
         6           0.8281           0.0624            0.99s
         7           0.7788           0.0442            1.10s
         8           0.7369           0.0413            1.17s
         9           0.6982           0.0220            1.16s
        10           0.6685           0.0476            1.11s
        20           0.4900           0.0251            0.83s
        30           0.3976          -0.0043            0.63s
        40           0.3596           0.0270            0.45s
        50           0.3253          -0.0219            0.26s
        60           0.3115           0.0640            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2332           0.1367            1.01s
         2           1.1226           0.1295            1.01s
         3           1.0299           0.0952            1.33s
         4           0.9502           0.0706            1.21s
         5           0.8821           0.0532            1.15s
         6           0.8246           0.0559            1.10s
         7           0.7762           0.0535            0.99s
         8           0.7367           0.0676            1.02s
         9           0.6989           0.0248            1.04s
        10           0.6685           0.0356            1.01s
        20           0.4784           0.0134            0.80s
        30           0.3952           0.0375            0.61s
        40           0.3493          -0.0247            0.46s
        50           0.3257           0.0330            0.27s
        60           0.2966          -0.0321            0.08s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2332           0.1421            1.12s
         2           1.1194           0.1134            1.08s
         3           1.0251           0.0893            1.05s
         4           0.9461           0.0815            1.01s
         5           0.8790           0.0641            0.98s
         6           0.8237           0.0727            0.98s
         7           0.7739           0.0398            0.97s
         8           0.7327           0.0516            0.94s
         9           0.6955           0.0323            0.92s
        10           0.6618           0.0229            0.95s
        20           0.4710          -0.0163            0.76s
        30           0.3869          -0.0138            0.63s
        40           0.3414           0.0021            0.48s
        50           0.3138          -0.0362            0.29s
        60           0.2971          -0.0030            0.08s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2337           0.1369            1.48s
         2           1.1225           0.1243            1.22s
         3           1.0284           0.0857            1.32s
         4           0.9469           0.0540            1.22s
         5           0.8830           0.0895            1.16s
