      Iter       Train Loss      OOB Improve   Remaining Time 
        40           0.3510          -0.0066            0.46s
        50           0.3221          -0.0181            0.26s
        60           0.2965          -0.0300            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2326           0.1406            2.00s
         2           1.1199           0.1253            1.48s
         3           1.0248           0.0899            1.29s
         4           0.9466           0.0868            1.19s
         5           0.8787           0.0652            1.13s
         6           0.8207           0.0550            1.08s
         7           0.7704           0.0421            1.16s
         8           0.7274           0.0420            1.11s
         9           0.6913           0.0526            1.07s
        10           0.6582           0.0248            1.03s
        20           0.4700          -0.0015            0.80s
        30           0.3881           0.0197            0.63s
        40           0.3385          -0.0354            0.45s
        50           0.3202          -0.0029            0.26s
        60           0.2967          -0.0082            0.07s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2355           0.1378            2.46s
         2           1.1200           0.1092            1.98s
         3           1.0284           0.0953            1.97s
         4           0.9493           0.0780            1.95s
         5           0.8825           0.0664            1.55s
